frame,time_s,preview_visible,float_found,tip_y,cx,cy,area
2022,33.747,1,1,616,2391,662,1009
2028,33.847,1,1,616,2391,662,1020
2034,33.947,1,1,616,2390,664,1044
2040,34.047,1,1,616,2390,663,1029
2046,34.147,1,1,616,2390,664,1036
2052,34.247,1,1,616,2390,664,1039
2058,34.347,1,1,616,2390,663,1009
2064,34.448,1,1,616,2391,662,992
2070,34.548,1,1,616,2391,663,996
2076,34.648,1,1,616,2391,661,965
2082,34.748,1,1,616,2391,662,983
2088,34.848,1,1,616,2390,663,993
2094,34.948,1,1,616,2390,662,992
2100,35.048,1,1,616,2390,663,1003
2106,35.149,1,1,616,2390,662,1003
2112,35.249,1,1,616,2390,662,1001
2118,35.349,1,1,616,2391,661,967
2124,35.449,1,1,616,2391,662,985
2130,35.549,1,1,616,2390,663,1007
2136,35.649,1,1,616,2390,663,1014
2142,35.749,1,1,616,2390,662,977
2148,35.849,1,1,616,2390,664,1039
2154,35.950,1,1,616,2391,663,1009
2160,36.050,1,1,616,2391,663,1038
2166,36.150,1,1,616,2391,664,1031
2172,36.250,1,1,616,2390,664,1027
2178,36.350,1,1,616,2390,663,1012
2184,36.450,1,1,616,2390,660,981
2190,36.550,1,1,617,2387,663,1019
2196,36.651,1,1,617,2385,664,1034
2202,36.751,1,1,617,2384,663,1032
2208,36.851,1,1,617,2386,665,1128
2214,36.951,1,1,617,2387,663,1028
2220,37.051,1,1,616,2393,664,1079
2226,37.151,1,1,616,2393,664,1076
2232,37.251,1,1,616,2393,664,1086
2238,37.352,1,1,616,2393,664,1075
2244,37.452,1,1,616,2393,664,1059
2250,37.552,1,1,616,2393,664,1060
2256,37.652,1,1,616,2393,664,1080
2262,37.752,1,1,616,2393,664,1077
2268,37.852,1,1,616,2394,664,1049
2274,37.952,1,1,616,2397,669,1222
2280,38.053,1,0,0,0,0,0
2286,38.153,1,1,618,2393,668,1220
2292,38.253,1,1,616,2390,662,988
2298,38.353,1,1,617,2389,663,984
2304,38.453,0,0,0,0,0,0
